Date,Name,Year,Letterboxd URI,Rating
2026-01-11,Interstellar,2014,https://boxd.it/4VZ8,4
2026-01-11,Fight Club,1999,https://boxd.it/2a9q,4
2026-01-11,The Truman Show,1998,https://boxd.it/18U8,4
2026-01-11,Pulp Fiction,1994,https://boxd.it/29Pq,2
2026-01-11,Oppenheimer,2023,https://boxd.it/wUow,4
2026-01-11,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,3
2026-01-11,Inception,2010,https://boxd.it/1skk,4
2026-01-11,10 Things I Hate About You,1999,https://boxd.it/23AO,5
2026-01-11,(500) Days of Summer,2009,https://boxd.it/1EmM,5
2026-01-11,Five Nights at Freddy's 2,2025,https://boxd.it/KEvY,2
2026-01-11,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2026-01-11,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,4
2026-01-11,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,5
2026-01-11,It,2017,https://boxd.it/bC8e,5
2026-01-11,Forrest Gump,1994,https://boxd.it/728,3
2026-01-11,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,3
2026-01-11,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3
2026-01-11,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,2
2026-01-11,Ratatouille,2007,https://boxd.it/27ww,4
2026-01-11,Five Nights at Freddy's,2023,https://boxd.it/ikHu,2
2026-01-11,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,3
2026-01-11,Coraline,2009,https://boxd.it/1NhQ,1
2026-01-11,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,3
2026-01-11,13 Going on 30,2004,https://boxd.it/1X6e,4
2026-01-11,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,3
2026-01-12,Avatar,2009,https://boxd.it/1Efm,1
2026-01-12,Avatar: The Way of Water,2022,https://boxd.it/2E2E,3
2026-01-12,Glass Onion,2022,https://boxd.it/oCkK,4
2026-01-12,KPop Demon Hunters,2025,https://boxd.it/ufwK,3
2026-01-12,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,2.5
2026-01-12,Zootopia,2016,https://boxd.it/84xS,2
2026-01-12,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,3
2026-01-12,Barbie,2023,https://boxd.it/bCLK,2
2026-01-12,The Dark Knight,2008,https://boxd.it/2b0k,3
2026-01-12,Mean Girls,2004,https://boxd.it/1VNg,4
2026-01-12,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,3
2026-01-12,Back to the Future,1985,https://boxd.it/2b8e,5
2026-01-17,A Nonsense Christmas with Sabrina Carpenter,2024,https://boxd.it/QkR8,5
2026-01-17,The Queen's Gambit,2020,https://boxd.it/s1Ym,4
2026-01-22,Stranger Things 5: The Finale,2025,https://boxd.it/YqXW,4
2026-01-25,Superbad,2007,https://boxd.it/20hO,4
2026-02-06,The Muppet Show,2026,https://boxd.it/XGno,5
2026-04-29,EuroTrip,2004,https://boxd.it/1YTQ,5
2026-05-29,The Quintessential Quintuplets∽,2023,https://boxd.it/HEt8,5
2026-05-29,The Quintessential Quintuplets＊,2024,https://boxd.it/N6Yo,5
2026-05-29,The Quintessential Quintuplets Movie,2022,https://boxd.it/uUj8,5
